Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
"Department for Digital, Culture, Media & Sport",Visit Britain and Visit England,G2-SCH-2022-09-11694,ALB - British Tourist Authority t/a VisitBritain - GREAT Gateway Innovation Fund 2022/24,"With the support of the GREAT Britain and Northern Ireland Campaign (the GREAT Campaign or GREAT), the Gateway Innovation Fund (the Fund) aims to provide financial assistance by way of a cash grant to a UK-registered Destination Management Organisation (DMO), UK-based tourism supplier or transport carrier in order to deliver marketing activity in either France, Germany, Spain, member-states of the Gulf Co-operation Council (GCC) (namely, Kuwait, Qatar, Saudi Arabia or United Arab Emirates (UAE)) or The United States. The Fund seeks to drive marketing innovation by focusing on a specific inbound gateway or region in either England, Scotland or Wales which has a direct port of passenger entry, whether an airport, a seaport or fixed rail link, to Britain from one of the GREAT overseas markets listed above.

The Fund is a new pilot programme for UK-based operators and DMOs with proven experience of working in international markets. Working in collaboration with local industry in the chosen gateway destination or region, prospective applicants will need to develop an international consumer marketing campaign (or activation) that showcases the very best of that region to a buzz-seeker audience motivating them to travel in 2023.",284044.00,2022-04-01,2024-03-31,General Grant - Competed,24,"Recreation, culture and religion",Development of Tourism Act 1969
Department for Education,Office for Students,G2-SCH-2022-09-11698,JISC Capital 2022-23,"The Office for Students provides recurrent grant to Jisc primarily for the purpose of operating 
the Janet network, associated services, Jisc Collections, and other activities aimed at 
increasing efficiencies and effectiveness in the sector through best use of digital technologies.",5000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Education,Higher Education and Research Act 2017
Department for Education,Office for Students,G2-SCH-2022-09-11699,JISC recurrent 2022-23,"The Office for Students provides recurrent grant to Jisc primarily for the purpose of operating 
the Janet network, associated services, Jisc Collections, and other activities aimed at 
increasing efficiencies and effectiveness in the sector through best use of digital technologies",6800000.00,2022-04-01,2024-03-31,General Grant - Uncompeted,24,Education,Higher Education and Research Act 2017
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11723,Digital Planning Reform,"Digitalisation of the planning system, support development of digital software and migration of Local Authorities, PropTech engagement fund and a digital bench contract",15600981.00,2021-04-01,2025-03-31,General Grant - Competed,48,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11725,Estate Regeneration Fund,Estate regeneration aims to improve the quality of living environments and opportunities for communities living in social housing estates,240000.00,2021-04-01,2023-03-31,General Grant - Competed,24,Housing and community amenities,"Housing Grants, Construction and Regeneration Act 1996"
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11727,Flood Recovery Framework Schemes,Funding for Local Authorities following flood recovery,1037243.00,2021-04-01,2024-03-31,General Grant - Criteria Based,36,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11729,Homelessness Prevention Grant,Funding to fully fund the Homelessness Reduction Act 2017 and to ensure LAs can increase homelessness prevention services,363640941.00,2021-04-01,2025-03-31,Formula Grant,48,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11730,Lower Tier Services Grant,Local Government Finance Settlement related grant for lower tier local authorities,111000000.00,2021-04-01,2023-03-31,Formula Grant,24,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11731,Neighbourhood Planning,To incentivise and fund Local Planning Authorities to support and promote neighbourhood planning groups in their area via Section 31 grant,0.00,2021-04-01,2025-03-31,General Grant - Competed,48,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11732,Pavement Licensing New Burdens,"The Business and Planning Act 2020 introduced temporary pavement licence provisions on 22 July 2020 to support the hard-hit hospitality sector.  The temporary measures were due to expire on 30 September 2021, however they were extended by a further 12 months",2381244.00,2021-04-01,2024-03-31,General Grant - Criteria Based,36,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11733,Planning Reform Design,Funding to support Local Authorities to develop one new design code in line with the national design model,219375.00,2021-04-01,2024-03-31,General Grant - Competed,36,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11734,Protect and Vaccinate Programme,Funding to LAs for both offers of emergency accommodation and activities to encourage vaccination uptake amongst rough sleepers,-7991487.00,2021-04-01,2023-03-31,Formula Grant,24,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11735,Redmond Review Implementation,Support for increased audit fees following the Redmond Review into the effectiveness of external audit and transparency of financial reporting in local authorities,15075585.00,2021-04-01,2024-03-31,Formula Grant,36,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11736,UK Community Renewal Fund,"The UK Community Renewal Fund aims to support people and communities most in need across the UK, creating opportunities to trial new approaches and innovative ideas at the local level",63066269.00,2021-04-01,2023-03-31,General Grant - Competed,24,Housing and community amenities,UK Internal Markets Act 2020
Department for Education,Office for Students,G2-SCH-2022-09-11738,Uni Connect,"Uni Connect brings together 29 partnerships of universities, colleges and other local partners to offer activities, advice and information on the benefits and realities of going to university or college.",32140012.00,2022-04-01,2024-03-31,General Grant - Competed,24,Education,Higher Education and Research Act 2017
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11740,"Collaborative Reporting for Safer Structures (CROSS) Phase 3, 4 and 5","Voluntary occurrence reporting, designed to ensure that structural and fire safety issues which do not fall into the mandatory reporting category are reported to and captured by the regulator",523384.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Housing and community amenities,Charities Act 2006
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11741,Community Housing Fund,Support for new community-led housing developments,3000000.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Housing and community amenities,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11743,Holocaust Awareness Raising,To raise awareness on social media channels and through community engagement via Foundation Stones,87717.80,2021-04-01,2023-03-31,General Grant - Competed,24,"Recreation, culture and religion",Charities Act 2006
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11744,Hong Kong British National Overseas (HKBNOs) Welcome Programme,Resettlement funding for Hong Kong British nationals (overseas),8432704.06,2021-04-01,2024-03-31,General Grant - Uncompeted,36,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11746,National Homelessness Adv Service (NHAS),"Grant funding to NHAS, which provides free legal training and expert advice to local authority and public authority staff including those with a duty to refer",478500.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Housing and community amenities,Housing Act 1996
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11747,National Trading Standards Estate Agent Regulation,The fund is paid to the National Trading Standards in line with Section 24A of the EEA which requires that there is a lead enforcement authority (LEA) for overseeing the work of estate agents,348585.00,2021-04-01,2025-03-31,General Grant - Uncompeted,48,Housing and community amenities,Enterprise Act 2002
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11748,National Trading Standards Estate and Lettings Agency Funding,Enable the National Trading Standards Estate and Letting Agency Team to carry out their statutory functions in enforcing the Tenant Fees Act 2019,542993.45,2021-04-01,2024-03-31,General Grant - Uncompeted,36,Housing and community amenities,Tenant Fees Act 2019
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11749,Partnerships for People and Place,To test whether better co-ordination within and between central Government and local places can improve efficiency and outcomes of place-based policy,1306020.00,2021-04-01,2023-03-31,General Grant - Competed,24,"Recreation, culture and religion",Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11750,Secretariat for the Independent Antisemitism Adviser,To provide secretariat services to the Antisemitism Policy Trust and report into the Department when required,100000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Charities Act 2006
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11751,True Vision,To support the operation and development of the True Vision resource,100000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11752,Windrush Day Grant Scheme,Annual scheme to celebrate National Windrush Day plus a small amount for administrative costs,494216.19,2021-04-01,2024-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Charities Act 2006
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11753,Transformation Fund,"Funding to support small, non-commissioned night shelter providers to embed single room accommodation as the sector standard and reduce need for emergency winter accommodation",3938623.00,2021-04-01,2025-03-31,General Grant - Competed,48,Housing and community amenities,Housing Act 1996
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11755,Future Homes Hub,"Grant for the Future Homes Hub activities to support industry to meet Government's environmental targets, and note that within £325k payment, £125k was paid on behalf of Home England's contribution which Home England surrendered back to the Department",325000.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Housing and community amenities,Industrial Development Act 1982
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11757,Local Govt Digital Transformation,Funding to individual local authorities to mitigate high-risk cyber vulnerabilities with aim of reducing the severity of cyber-attacks,0.00,2021-04-01,2024-03-31,General Grant - Criteria Based,36,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-11758,Local Digital Collaboration Fund,Funding to support digital projects with aim of improving services to the public thereby ensuring councils have better access to business systems that are secure and user-centred,17172533.00,2021-04-01,2025-03-31,General Grant - Criteria Based,48,General public services,Local Government Act 2003
"Department for Digital, Culture, Media & Sport",National Heritage Memorial Fund,G2-SCH-2022-09-11763,Cultural Asset Fund,"For distribution to outstanding heritage assets 
within England.",5148054.97,2022-04-01,2026-03-31,General Grant - Criteria Based,48,"Recreation, culture and religion",National Heritage Act 1983
Department for Education,Office for Students,G2-SCH-2022-09-11769,Data Futures 22-23,"The funded programme facilitates in-year collection, assurance and dissemination of UK higher education data, to support more timely decision-making with respect to UK higher education statutory customers,  and deliver a more efficient system for HE providers to submit and quality assure their data.",3341520.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Education,Higher Education and Research Act 2017
Department for Education,Office for Students,G2-SCH-2022-09-11770,Student space phase 3,Fund student mental health services during Covid 19.,562416.00,2021-04-01,2023-03-31,General Grant - Competed,24,Education,Higher Education and Research Act 2017
Department for Education,Department for Education,G2-SCH-2022-09-12070,Leadership and Governance,Drive up quality of FE leaders and governors.,4526443.67,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-09-12074,OSCE Capacity,"To increase Observed Structured Clinical Examination (OSCE) capacity, leveraged by the financial support for international recruitment as part of the 50k nurse Programme.",198985.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Nursing and Midwifery Order 2001
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-09-12077,"Commonwealth Partnerships for Antimicrobial Stewardship programme 2,","The Commonwealth Partnerships for Antimicrobial Stewardship programme (CwPAMS) is funded by the Department of Health and Social Care using UK Aid funding and is managed by the Fleming Fund. It aims to strengthen antimicrobial stewardship in eight sub-Saharan countries  Ghana, Kenya, Malawi, Nigeria, Sierra Leone, Tanzania, Uganda and Zambia  by leveraging UK NHS expertise.",575262.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Health,International Development Act 2002
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-09-12078,Support for Tackling AMR in LMICs,"The South Centre (SC) has received support from the UK Fleming Fund that has enabled the Centre to scale up its work on antimicrobial resistance (AMR). The project grant was extended in 2020 and ended in June 2021. The project contributes to raising the awareness and to develop the capacity of policymakers and civil society groups (CSOs) of low and middle - income countries (LMICs) to take actions to tackle the growing crisis of AMR. The South Centre seeks continued support from the UK for a three-year period to advance its work in support of LMICs and CSOs, with increased focus on tackling AMR through a One Health approach, and the use of surveillance and other data on AMR to support evidence-based actions.",300000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Health,International Development Act 2002
Department for Education,Department for Education,G2-SCH-2022-09-12079,Alternative Provision Specialist Taskforces - Capital Grant,To provide funding for alternative provision specialist taskforces to improve or create space for their specialists to work in.,540.75,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2022-09-12080,Alternative Provision Specialist Taskforces,"To create 22 Alternative Provision specialist taskforces in serious violence hotspots around England with the aim of trialling co-location of specialists, and reducing serious violence.",6254613.05,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2022-09-12082,Sector-Led Improvement Partners (SLIP) - SEND,"High-performing LAs for SEND receive grant funding to share good practice, work collaboratively, and provide constructive challenge to help drive up the performance of the sector. SLIPs work directly with potential recipient LAs to develop a tailored package of support that meets specific local needs.",329477.31,2021-04-01,2025-03-31,General Grant - Competed,48,Education,Children and Families Act 2014
Department for Education,Department for Education,G2-SCH-2022-09-12084,Sector-Led Improvement Partners (SLIP) - Children's Social Care,Sector-led improvement (SLI) is about LAs supporting each other to improve their children's services. The programme aims to improve the overall performance of children's social care by using the strongest performing LAs to provide peer support to LAs who are working to improve their services.,6738146.64,2021-04-01,2023-03-31,General Grant - Criteria Based,24,Education,Children and Families Act 2014
Department for Education,Department for Education,G2-SCH-2022-09-12086,Pupil Premium Plus Post-16 funding,To bridge the funding gap for looked-after children and care leavers continuing to FE; to raise the profile of looked-after children and care leavers in FE; to improve the attendance of looked-after children and care leavers in FE settings; to better support the delivery of Personal Education Plans; and to identify models of good practice used by LAs across the country.,4950000.00,2021-04-01,2025-03-31,Formula Grant,48,General public services,Local Government Act 2003
Ministry of Justice,Ministry of Justice,G2-SCH-2022-09-12087,Youth Justice Sports Fund,Supporting VCS organisations across England and Wales to continue sport for crime prevention projects with children and young people who are at meaningful risk of offending.,5000000.00,2022-04-01,2023-03-31,General Grant - Competed,12,General public services,Charities Act 2006
Department for Education,Department for Education,G2-SCH-2022-09-12091,Behaviour Hubs - Direct to School Grants,"To enable designated lead schools to deliver training to designated partner schools to improve pupil behaviour, and provides a lump sum to partner schools on completion of the 12 month programme.",1739023.31,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2022-09-12092,SAFE Taskforces,"To create 10 taskforces in serious violence hotspots around England with the aim of targeting at risk pupils in non-AP schools and reducing serious violence, improving education engagement.",7333756.57,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
Cabinet Office,Cabinet Office,G2-SCH-2022-09-12093,COP26 Indigenous Youth Programme,"The scheme will help support Indigenous
young people attending COP27 from the seven socio-cultural regions and
participate meaningfully in the United Nations Framework Convention on
Climate Change (UNFCCC) negotiations.",50000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Environmental protection,Environmental Protection Act 1990
Home Office,Home Office,G2-SCH-2022-09-12094,SafeLives - IT Update,"SafeLives have remained the leaders in multi-agency work surrounding victims of domestic abuse; collecting key data and improving local authorities' multi agency response to high risk victims of DA. Mid 2023, their IT system which captures and stores the data received from Multi-Agency Risk Assessment Centres (MARACs) will become obsolete and they will require a new system to be identified and embedded. This grant will allow them to find a new system before the old one becomes obsolete, thus protecting data and important work stored.",80000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
Department for Education,Department for Education,G2-SCH-2022-09-12098,Early Years Professional Development Programme (Phase 2): Building on Success,"Upskill practitioners in delivery of early language, maths and PSED in areas of deprivation.",792250.00,2021-04-01,2023-03-31,General Grant - Criteria Based,24,Education,Local Government Act 2003
Department for Education,Department for Education,G2-SCH-2022-09-12099,FE Initial Teacher Education Financial Incentives,Incentivise more people to become FE teachers in priority subject areas.,6520994.61,2021-04-01,2023-03-31,General Grant - Criteria Based,24,Education,Education Act 2002
Department for Education,Department for Education,G2-SCH-2022-09-12106,Trust Partnerships,"The purpose of the partnership is for the trust to provide immediate, short term school improvement support to the school and should be based on an agreed and signed service level agreement (SLA) adapted from the template SLA provided on gov.uk. During the partnership, the school will consider converting into an academy based on its experience of working with the trust.",237900.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Education,Education Act 2002
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-09-12111,Product Testing of Enterprise Connected Devices,"To produce higher quality data that helps us understand the scale of vulnerabilities, and how prevalent vulnerabilities are in commonly used enterprise IoT products. This will inform policy decisions in the future that will allow us to provide effective guidance/support to industry regarding cyber security, and additionally support the development of the sector.",200000.00,2022-04-01,2023-03-31,General Grant - Competed,12,"Recreation, culture and religion",Industrial Development Act 1982
Department for Education,Education and Skills Funding Agency,G2-SCH-2022-09-12112,Homes for Ukraine - Education and Childcare Funding,"The purpose of the grant is to provide support to local authorities in England towards expenditure lawfully incurred, or to be incurred, on education and childcare element of Homes for Ukraine funding for children arriving under the Homes for Ukraine visa scheme.",170995741.25,2022-04-01,2023-03-31,Formula Grant,12,Education,Education Act 2002
Department for Transport,Department for Transport,G2-SCH-2022-09-12113,JAQU NO2 Plan - Early Measures Fund 22/23,The Joint Air Quality Unit (JAQU) was established as a joint venture between Defra and the DfT to deliver the Governments NO2 reduction strategies.,5264888.00,2022-04-01,2023-03-31,General Grant - Criteria Based,12,General public services,Local Government Act 2003
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-09-12118,ASC LASSL Adult Personal Social Services,LASSL  Adult personal social services: * social care in prisons: * local reform and community voices: * war pensions disregard.Long standing grant,60360000.00,2022-04-01,2024-03-31,Formula Grant,24,Health,Local Government Act 2003
Ministry of Defence,Ministry of Defence,G2-SCH-2022-09-12121,Volunteer Cadet Corp,"To provide opportunities for young people to develop into responsible, dependable and useful members of society, employing the traditions and practises of the Naval Service as the basis for their activities.",37743.00,2021-04-01,2026-03-31,General Grant - Uncompeted,60,Defence,Appropriation Act
Ministry of Defence,Ministry of Defence,G2-SCH-2022-09-12122,RFCA Review Implementation,To support the objectives of the RFCA Reform Programme,1742311.41,2021-04-01,2024-03-31,General Grant - Uncompeted,36,Defence,Appropriation Act
Ministry of Defence,Ministry of Defence,G2-SCH-2022-09-12123,School Cadets Expansion Officers (SCEOs),To Financially Support The Cadet Expansion programme,695965.00,2021-04-01,2032-03-31,General Grant - Uncompeted,132,Defence,Appropriation Act
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-09-12127,UK Cyber Cluster Collaboration,To grow the UKs Cyber Security ecosystems and drive related economic growth and Covid recovery.,1238300.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",UK Internal Markets Act 2020
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-09-12128,Cyber Local and Bradford,"Strengthen the structures, partnerships and networks necessary to support a whole of society approach to cyber.",253300.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,"Recreation, culture and religion",UK Internal Markets Act 2020
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-09-12130,Know Your Neighbourhood Fund (Strand 2),"In line with the governments Levelling Up agenda, this funding aims to support increased wellbeing and pride in place by increasing impactful volunteering and tackling chronic loneliness in areas of high deprivation.",1600000.00,2022-04-01,2025-03-31,General Grant - Competed,36,"Recreation, culture and religion",Charities Act 2006
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2022-09-12132,Energy Entrepreneurs Fund (EEF),"The Energy Entrepreneur Fund (EEF) seeks to develop low carbon technologies, products and processes in key technology areas not targeted by other technology innovation programmes. The programme is delivered in a competitive format with resources allocated over a series of funding rounds. The programme is technology agnostic and does not favour any specific technology in energy innovation. The EEF seeks the best ideas, irrespective of source, and particularly aims to assist small- and medium-sized enterprises, including start-ups. 
The EEF was first established in 2012 to identify and fund potentially disruptive technologies that might not easily fall into a specific technology innovation programme.  The EEF remains aimed at funding pre-commercial technologies at a stage that can be difficult to secure private sector investment especially for SMEs. Over the past 8 years the EEF has provided £72m of grant funding to 156 companies, leveraging between £100m and £209m in private investment as a direct result of the programme.
EEF Phase 8+ will support a number of the SICE Net Zero Innovation strategic objectives, namely supporting the development of new energy systems, technologies and processes and stimulating private sector investment. Ultimately this will lead to the creation of highly skilled science and engineering jobs and will help to maintain UK international leadership in areas that will benefit the clean energy sector.",14442447.88,2021-04-01,2025-03-31,General Grant - Competed,48,Environmental protection,Science and Technology Act 1965
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-09-12134,Discharge Transformation Fund,"2022-09-30 Scheme uploaded by GGMF via CGAP form, amount amended 17/11.",200000000.00,2022-04-01,2023-03-31,Formula Grant,12,Health,Local Government Act 2003
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-09-12135,ASC International Recruitment Support Fund,"to promote collaborative arrangements which reduce administrative complexity and burden, particularly for small and medium-sized enterprises (SMEs) providers.",1667076.10,2022-04-01,2024-03-31,General Grant - Mixed,24,Health,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-12136,Ox-Cam Arc,"The key strategic objective for Pan-Regional Partnerships is to support economic growth and productivity in their areas through convening and collaborating with partners. This will be achieved through a focus on three key thematic areas of activity: Collaboration at scale on shared priorities, Trade and investment activity, and Developing the regional evidence base",500000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-12137,New Resident Opportunities and Empowerment Grant,Training grant to support training bursaries for individual social housing tenants to enable them to be more confident in engaging with and challenging landlords,100000.00,2022-04-01,2025-03-31,General Grant - Competed,36,Housing and community amenities,Housing and Planning Act 1986
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-09-12139,Supported Housing Improvement Programme,The programme will support local authorities to address poor-quality supported housing and to drive up standards in their area,3952205.00,2022-04-01,2025-03-31,General Grant - Competed,36,Housing and community amenities,Local Government Act 2003
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2022-10-12142,The Nuclear Fuel Fund (NFF),"To i) preserve the UKs nuclear fuel fabrication capability and ii) create a more resilient domestic nuclear fuel market by supporting the UK supply chain to develop the front-end fuel cycle capabilities required to produce fuel products which meet near, medium- and long-term demand in the UK, and globally.",101433.00,2022-04-01,2025-03-31,General Grant - Mixed,36,Economics affairs,UK Internal Markets Act 2020
Home Office,Home Office,G2-SCH-2022-10-12144,"Clear, Hold, Build (CHB) - Merseyside","Clear, Hold, Build (CHB) is an end-to-end partnership approach designed by the Home Office to reduce the number of OCGs, crime levels, serious violence and homicides in particularly high-harm areas in a sustainable way. CHB is aimed at:  
· Supporting forces and their local delivery partners to identify the highest harm areas.
· Ruthlessly pursuing OCG members through intensive enforcement activity.
· Immediately addressing the vacuum this leaves by preventing other OCGs from taking over the location including by offering support services and safeguarding referrals.
· Rebuilding communities in a way that make them less vulnerable to the threat in future.",350000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Public order and safety,Serious Organised Crime and Police Act 2005
Home Office,Home Office,G2-SCH-2022-10-12145,Police Uplift and Workforce Priorities,"To provide funding to the College of Policing, as per Section 57 of the Police Act 1996, to enforce the regulations laid down in Statutory Instruments Nos 2372 and 2373 of 2014, amending the Police Regulations 2003 and the Police (Promotion) Regulations 1996.",8900000.00,2022-04-01,2024-03-31,General Grant - Uncompeted,24,Public order and safety,Police Act 1996
Home Office,Home Office,G2-SCH-2022-10-12147,Domestic Abuse Matters Training for Police Forces Funding,"The Government are investing in training for Police which aims to increase understanding of the nature of domestic abuse and other VAWG related crimes.
The overall aim of the funding is to provide the College of Policing with funding to pilot and evaluate the additional module of the Domestic Abuse Matters training that we funded them to develop in FY 22/23 and provide those forces who are yet to undertake the Domestic Abuse Matters training with a funding amount to contribute towards the cost of the training to support them in completing this in order to assist forces in better understanding how to respond to domestic abuse and CCB. This Grant funds a contribution to the College of Policing and 8 police forces via a direct award.",273947.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-10-12150,Samaritans - National Suicide Prevention Association,"The purpose of the proposed funding is to support the NSPAs crucial role in the suicide prevention landscape allowing the NSPA to: 
 foster greater collaboration across sectors to drive change;
 share information, good practice and resources - building both capacity and knowledge; 
 provide a collective voice to inform national and local policy and practice; 
 further grow and diversify the Alliances membership;
 Support the NSPAs Lived Experience Network, which was set up in 2020, and enable the NSPA to provide insights to DHSC from that Network to support policy development.",90000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Charities Act 2006
"Department for Environment, Food and Rural Affairs",Marine Management Organisation,G2-SCH-2022-10-12152,UK Seafood Fund: Grant for Modernising the fleet through exploring replacement engines in the Small Scale Coastal Fleet,"a) A more sustainable and efficient fleet, that is safer, more reliable, uses less fuel and emits fewer greenhouse gas emissions, thus contributing to the economic development of the sector and delivery of the net zero agenda. 
b) The opportunity for new technologies to be tested by those who do not have the capital expenditure to explore alternative approaches.  
c) A better understanding of what blockers are preventing the fleet from upgrading to more efficient and reliable engines.",13436.63,2022-04-01,2024-03-31,General Grant - Criteria Based,24,Environmental protection,UK Internal Markets Act 2020
Cabinet Office,Cabinet Office,G2-SCH-2022-10-12153,African Youth Mobilisation for COP,"To Support young people from Africa and the African continent attending COP27 in Sharm El Sheikh in Egypt between Dates: Sun, 6 Nov
2022  Fri, 18 Nov 2022",10000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Environmental protection,Environment Act 1995
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-10-12155,National Landscapes Partnership and Green Finance,"The Government committed to establishing a new National Landscapes Partnership in its response to the 2019 Landscapes Review.  It is intendedto increase the scale and pace of nature recovery in protected landscapes and improve the diversity of visitors to our protected landscapes and National Trails by March 2025.

The partnership will provide strategic direction and coordination of AONB teams, National Trails and National Parks and generate additional income to support delivery activities by attracting investment through green finance initiatives, commercial activities and joint funding bids.",105685.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Natural Environment and Rural Communities Act 2006
Department for Education,Department for Education,G2-SCH-2022-10-12156,FE Capital Transformation,"The Further Education Capital Transformation Programme delivers the government's £1.5 billion commitment, made in the Budget 2020, to upgrade and transform the FE college estate over the a 5 year period.",20901119.88,2021-04-01,2023-03-31,General Grant - Competed,24,Education,Education Act 2002
